stream	dataset	path	group	working groups	type	status	enabling	target rate 2.0e34	target rate 1.4e34	HLT Prescales                                                                                          HLT Prescales                                                                                          HLT Prescales                                                                                          HLT Prescales                                                                                               HLT Prescales																										L1 seed {Note: "(L1_A) AND (L1_B)" refers to the actual seed (L1_A) and any L1 algo (L1_B) used to provide L1 candidates in the path (but not to seed the path). In case of doubt, the most trustable source is the configuration of the path itself.}	L1 Prescales                                                                                          L1 Prescales                                                                                          L1 Prescales                                                                                          L1 Prescales                                                                                               L1 Prescales																										
				e.g. "EXO-LL" or "HIG-ZZ" etc...						Emer.	1.6E+34	1.5E+34	1.4E+34	1.3E+34	1.2E+34	1.1E+34	1E+34	7.5E+33	5E+33	2.5E+33	1.6e34+ZB	1.5e34+ZB	1.4e34+ZB	1.3e34+ZB	1.2e34+ZB	1.1e34+ZB	1.0e34+ZB	7.5e33+ZB	5.0e33+ZB	2.5e33+ZB	ECAL 2.0kHz	ECAL 1.7kHz	ECAL 1.4kHz	ECAL 1.2kHz	ECAL 1.0kHz		Emer.	1.6E+34	1.5E+34	1.4E+34	1.3E+34	1.2E+34	1.1E+34	1E+34	7.5E+33	5E+33	2.5E+33	1.6e34+ZB	1.5e34+ZB	1.4e34+ZB	1.3e34+ZB	1.2e34+ZB	1.1e34+ZB	1.0e34+ZB	7.5e33+ZB	5.0e33+ZB	2.5e33+ZB	ECAL 2.0kHz	ECAL 1.7kHz	ECAL 1.4kHz	ECAL 1.2kHz	ECAL 1.0kHz	
PhysicsEGamma	SinglePhoton	HLT_Photon150_v5	SMP,EXO		control	prescaled	2E+34	0.25	0.25	0	125	125	117	108	100	96	83	62	42	21	125	125	117	108	100	96	83	62	42	21	0	0	0	0	0	L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau100er2p1 OR L1_SingleTau120er2p1 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon165_R9Id90_HE10_IsoM_v14	SUS		signal	unprescaled	2E+34	3	3	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleEG40 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon175_v13	SMP,SUS,EXO		control	prescaled	2E+34	0.25	0.25	0	63	63	58	54	50	48	42	31	21	10	63	63	58	54	50	48	42	31	21	10	0	0	0	0	0	L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau100er2p1 OR L1_SingleTau120er2p1 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon200_v12	SMP,EXO		signal	unprescaled	2E+34	9	9	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau100er2p1 OR L1_SingleTau120er2p1 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon20_HoverELoose_v9	SMP		control	prescaled	2E+34	0.5	0.5	0	3	3	4	4	65	78	84	82	84	81	3	3	4	4	65	78	84	82	84	81	0	0	0	0	0	L1_SingleEG10	60000	38000	38000	32000	27000	1500	1200	980	750	490	252	38000	38000	32000	27000	1500	1200	980	750	490	252	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon20_v1	SMP		control	disabled	none	/	/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_SingleEG15	15000	2700	2700	2300	1900	100	80	70	50	35	18	2700	2700	2300	1900	100	80	70	50	35	18	0	0	0	0	0	edit
PhysicsEGamma	SinglePhoton	HLT_Photon25_v3	EXO		control	prescaled	2E+34	0.5	0.5	0	42	42	46	53	59	68	70	71	73	73	42	42	46	53	59	68	70	71	73	73	0	0	0	0	0	L1_SingleEG18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon300_NoHE_v11	HIG,EXO		backup	unprescaled	2E+34	3.2	3.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau100er2p1 OR L1_SingleTau120er2p1 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon30_HoverELoose_v9	SMP		control	prescaled	2E+34	0.5	0.5	0	1	1	1	1	14	16	17	17	17	17	1	1	1	1	14	16	17	17	17	17	0	0	0	0	0	L1_SingleEG10	60000	38000	38000	32000	27000	1500	1200	980	750	490	252	38000	38000	32000	27000	1500	1200	980	750	490	252	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon33_v4	EXO,SMP		control	prescaled	2E+34	0.25	0.25	0	38	38	42	48	55	62	65	65	67	67	38	38	42	48	55	62	65	65	67	67	0	0	0	0	0	L1_SingleEG26	1500	780	780	660	540	440	370	310	230	150	75	780	780	660	540	440	370	310	230	150	75	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon40_HoverELoose_v9	SMP		control	prescaled	Disabled	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_SingleEG24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon50_HoverELoose_v9	SMP		control	prescaled	Disabled	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_SingleEG24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon50_R9Id90_HE10_IsoM_EBOnly_PFJetsMJJ300DEta3_PFMET50_v3	EXO		signal	/	/	1.5	1.5	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleEG40 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon50_R9Id90_HE10_IsoM_v13	SUS,B2G		control	prescaled	2E+34	1	1	0	259	259	241	224	207	198	172	129	86	43	259	259	241	224	207	198	172	129	86	43	0	0	0	0	0	L1_SingleEG40 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon50_v12	EXO		control	prescaled	2E+34	0.25	0.25	0	6211	6211	5797	5383	4968	4761	4140	3105	2070	1035	6211	6211	5797	5383	4968	4761	4140	3105	2070	1035	0	0	0	0	0	L1_SingleEG34 OR L1_SingleEG40  OR L1_SingleEG42  OR L1_SingleEG45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon60_HoverELoose_v9	SMP		control	prescaled	Disabled	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_SingleEG24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_PFHT350MinPFJet15_v9	EXO		signal	unprescaled	2E+34	28	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleEG40 OR L1_SingleTau120er2p1 OR L1_SingleJet180 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_v4	EXO		control	prescaled	2E+34	1	1	0	121	121	113	105	97	93	80	60	40	20	121	121	113	105	97	93	80	60	40	20	0	0	0	0	0	L1_SingleEG40 OR L1_SingleTau120er2p1 OR L1_SingleJet180 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon60_R9Id90_CaloIdL_IsoL_v4	EXO		control	prescaled	2E+34	1	1	0	158	158	147	137	126	121	105	79	53	26	158	158	147	137	126	121	105	79	53	26	0	0	0	0	0	L1_SingleEG40 OR L1_SingleTau120er2p1 OR L1_SingleJet180 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon75_R9Id90_HE10_IsoM_EBOnly_PFJetsMJJ300DEta3_v3	EXO		signal	unprescaled	2E+34	3	3	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleEG40 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon75_R9Id90_HE10_IsoM_EBOnly_PFJetsMJJ600DEta3_v3	EXO		backup	unprescaled	2E+34	/	/	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleEG40 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon75_R9Id90_HE10_IsoM_v13	SUS,B2G		control	prescaled	2E+34	1	1	0	62	62	57	53	49	47	41	31	21	10	62	62	57	53	49	47	41	31	21	10	0	0	0	0	0	L1_SingleEG40 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon75_v12	SMP		control	prescaled	2E+34	0.5	0.5	0	736	736	687	638	589	564	491	368	245	123	736	736	687	638	589	564	491	368	245	123	0	0	0	0	0	L1_SingleEG34 OR L1_SingleEG40  OR L1_SingleEG42  OR L1_SingleEG45  OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon90_R9Id90_HE10_IsoM_v13	SUS,B2G		control	prescaled	2E+34	1	1	0	31	31	29	27	25	24	21	15	10	5	31	31	29	27	25	24	21	15	10	5	0	0	0	0	0	L1_SingleEG40 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon90_v12	SMP,EXO		control	prescaled	2E+34	0.25	0.25	0	766	766	715	664	612	587	510	383	255	128	766	766	715	664	612	587	510	383	255	128	0	0	0	0	0	L1_SingleEG34 OR L1_SingleEG40  OR L1_SingleEG42  OR L1_SingleEG45  OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHLTPhysics1	HLTPhysics1	HLT_Physics_part0_v7	TSG		control	prescaled	2E+34	/	/	0	0	0	0	0	0	0	0	0	0	0	580	580	580	580	580	580	580	580	580	60	0	0	0	0	0	(none)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PhysicsHLTPhysics1	HLTPhysics2	HLT_Physics_part1_v7	TSG		control	prescaled	2E+34	/	/	0	0	0	0	0	0	0	0	0	0	0	580	580	580	580	580	580	580	580	580	60	0	0	0	0	0	(none)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PhysicsHLTPhysics2	HLTPhysics3	HLT_Physics_part2_v7	TSG		control	prescaled	2E+34	/	/	0	0	0	0	0	0	0	0	0	0	0	580	580	580	580	580	580	580	580	580	60	0	0	0	0	0	(none)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PhysicsHLTPhysics2	HLTPhysics4	HLT_Physics_part3_v7	TSG		control	prescaled	2E+34	/	/	0	0	0	0	0	0	0	0	0	0	0	580	580	580	580	580	580	580	580	580	60	0	0	0	0	0	(none)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PhysicsHLTPhysics3	HLTPhysics5	HLT_Physics_part4_v7	TSG		control	prescaled	2E+34	/	/	0	0	0	0	0	0	0	0	0	0	0	580	580	580	580	580	580	580	580	580	60	0	0	0	0	0	(none)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PhysicsHLTPhysics3	HLTPhysics6	HLT_Physics_part5_v7	TSG		control	prescaled	2E+34	/	/	0	0	0	0	0	0	0	0	0	0	0	580	580	580	580	580	580	580	580	580	60	0	0	0	0	0	(none)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PhysicsHLTPhysics4	HLTPhysics7	HLT_Physics_part6_v7	TSG		control	prescaled	2E+34	/	/	0	0	0	0	0	0	0	0	0	0	0	580	580	580	580	580	580	580	580	580	60	0	0	0	0	0	(none)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PhysicsHLTPhysics4	HLTPhysics8	HLT_Physics_part7_v7	TSG		control	prescaled	2E+34	/	/	0	0	0	0	0	0	0	0	0	0	0	580	580	580	580	580	580	580	580	580	60	0	0	0	0	0	(none)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PhysicsHadronsTaus	BTagCSV	HLT_AK8PFJet330_PFAK8BTagCSV_p17_v3	HIG,BTV		signal	unprescaled	2E+34	67	67	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	BTagCSV	HLT_AK8PFJet330_PFAK8BTagCSV_p1_v3	HIG,BTV		signal	unprescaled	2E+34	50	50	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	BTagCSV	HLT_DoublePFJets100MaxDeta1p6_DoubleCaloBTagCSV_p33_v7	HIG		signal	unprescaled	2E+34	10	10	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_DoubleJet100er2p3_dEta_Max1p6 OR L1_DoubleJet112er2p3_dEta_Max1p6	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	BTagCSV	HLT_DoublePFJets100_CaloBTagCSV_p33_v7	HIG		control	prescaled	2E+34	0.7	0.7	0	2	2	2	294	271	260	226	169	113	56	2	2	2	294	271	260	226	169	113	56	0	0	0	0	0	L1_DoubleJet100er2p7	190	170	170	150	1	1	1	1	1	1	1	170	170	150	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	BTagCSV	HLT_DoublePFJets116MaxDeta1p6_DoubleCaloBTagCSV_p33_v7	HIG		backup	unprescaled	2E+34	7	7	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_DoubleJet100er2p3_dEta_Max1p6 OR L1_DoubleJet112er2p3_dEta_Max1p6	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	BTagCSV	HLT_DoublePFJets128MaxDeta1p6_DoubleCaloBTagCSV_p33_v7	HIG		backup	unprescaled	2E+34	5	5	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_DoubleJet100er2p3_dEta_Max1p6 OR L1_DoubleJet112er2p3_dEta_Max1p6	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	BTagCSV	HLT_DoublePFJets200_CaloBTagCSV_p33_v7	HIG		control	prescaled	2E+34	0.7	0.7	0	25	25	22	20	17	15	12	9	6	3	25	25	22	20	17	15	12	9	6	3	0	0	0	0	0	L1_DoubleJet120er2p7	80	70	70	1	1	1	1	1	1	1	1	70	70	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	BTagCSV	HLT_DoublePFJets350_CaloBTagCSV_p33_v7	HIG		control	prescaled	2E+34	0.7	0.7	0	1	1	8	8	7	7	6	5	3	2	1	1	8	8	7	7	6	5	3	2	0	0	0	0	0	L1_DoubleJet120er2p7	80	70	70	1	1	1	1	1	1	1	1	70	70	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	BTagCSV	HLT_DoublePFJets40_CaloBTagCSV_p33_v7	HIG		control	prescaled	2E+34	0.5	0.5	0	1	1	2	3	5	8	9	11	12	12	1	1	2	3	5	8	9	11	12	12	0	0	0	0	0	L1_DoubleJet40er2p7	15000	8400	8400	5200	2800	1500	900	620	390	240	120	8400	8400	5200	2800	1500	900	620	390	240	120	0	0	0	0	0	
PhysicsHadronsTaus	BTagCSV	HLT_Mu12_DoublePFJets100_CaloBTagCSV_p33_v7	HIG		control	prescaled	2E+34	0.5	0.5	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_Mu3_Jet60er2p7_dEta_Max0p4_dPhi_Max0p4	75	60	60	50	45	35	30	25	18	10	6	60	60	50	45	35	30	25	18	10	6	0	0	0	0	0	
PhysicsHadronsTaus	BTagCSV	HLT_Mu12_DoublePFJets200_CaloBTagCSV_p33_v7	HIG		control	prescaled	2E+34	0.5	0.5	0	3	3	3	3	2	2	2	2	1	1	3	3	3	3	2	2	2	2	1	1	0	0	0	0	0	L1_Mu3_Jet120er2p7_dEta_Max0p4_dPhi_Max0p4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	BTagCSV	HLT_Mu12_DoublePFJets350_CaloBTagCSV_p33_v7	HIG		control	prescaled	2E+34	0.5	0.5	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_Mu3_Jet120er2p7_dEta_Max0p4_dPhi_Max0p4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	BTagCSV	HLT_Mu12_DoublePFJets40MaxDeta1p6_DoubleCaloBTagCSV_p33_v7	HIG		signal	unprescaled	2E+34	16	16	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	BTagCSV	HLT_Mu12_DoublePFJets40_CaloBTagCSV_p33_v7	HIG		control	prescaled	2E+34	0.5	0.5	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_Mu3_Jet16er2p7_dEta_Max0p4_dPhi_Max0p4	2500	360	360	350	270	245	210	200	144	100	48	360	360	350	270	245	210	200	144	100	48	0	0	0	0	0	
PhysicsHadronsTaus	BTagCSV	HLT_Mu12_DoublePFJets54MaxDeta1p6_DoubleCaloBTagCSV_p33_v7	HIG		backup	unprescaled	2E+34	12	12	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	BTagCSV	HLT_Mu12_DoublePFJets62MaxDeta1p6_DoubleCaloBTagCSV_p33_v7	HIG		backup	unprescaled	2E+34	8.5	8.5	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	BTagCSV	HLT_PFHT300PT30_QuadPFJet_75_60_45_40_TriplePFBTagCSV_3p0_v7	HIG		signal	unprescaled	2E+34	24.1	24.1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_QuadJet60er2p7 OR L1_QuadJet50er2p7 OR L1_HTT280er OR L1_HTT300er OR L1_HTT320er OR L1_HTT340er OR L1_HTT380er OR L1_HTT400er OR L1_HTT450er OR L1_HTT500er OR L1_HTT250er_QuadJet_70_55_40_35_er2p5 OR L1_HTT280er_QuadJet_70_55_40_35_er2p5 OR L1_HTT300er_QuadJet_70_55_40_35_er2p5 OR L1_HTT320er_QuadJet_70_55_40_40_er2p4 OR L1_HTT320er_QuadJet_70_55_40_40_er2p5 OR L1_HTT340er_QuadJet_70_55_40_40_er2p5 OR L1_HTT320er_QuadJet_70_55_45_45_er2p5 OR L1_HTT340er_QuadJet_70_55_45_45_er2p5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	BTagCSV	HLT_PFHT300PT30_QuadPFJet_75_60_45_40_v7	HIG		control	prescaled	2E+34	3.5	3.5	0	153	153	143	133	175	168	146	109	73	36	153	153	143	133	175	168	146	109	73	36	0	0	0	0	0	L1_QuadJet60er2p7 OR L1_QuadJet50er2p7 OR L1_HTT280er OR L1_HTT300er OR L1_HTT320er OR L1_HTT340er OR L1_HTT380er OR L1_HTT400er OR L1_HTT450er OR L1_HTT500er OR L1_HTT250er_QuadJet_70_55_40_35_er2p5 OR L1_HTT280er_QuadJet_70_55_40_35_er2p5 OR L1_HTT300er_QuadJet_70_55_40_35_er2p5 OR L1_HTT320er_QuadJet_70_55_40_40_er2p4 OR L1_HTT320er_QuadJet_70_55_40_40_er2p5 OR L1_HTT340er_QuadJet_70_55_40_40_er2p5 OR L1_HTT320er_QuadJet_70_55_45_45_er2p5 OR L1_HTT340er_QuadJet_70_55_45_45_er2p5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	BTagCSV	HLT_QuadPFJet103_88_75_15_BTagCSV_p013_VBF2_v7	HIG		signal	unprescaled	2E+34	/	/	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_TripleJet_98_83_71_VBF OR L1_HTT280er OR L1_HTT300er OR L1_HTT320er OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	BTagCSV	HLT_QuadPFJet103_88_75_15_DoubleBTagCSV_p013_p08_VBF1_v7	HIG		signal	unprescaled	2E+34	/	/	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_TripleJet_98_83_71_VBF OR L1_HTT280er OR L1_HTT300er OR L1_HTT320er OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	BTagCSV	HLT_QuadPFJet105_88_76_15_BTagCSV_p013_VBF2_v7	HIG		backup	unprescaled	2E+34	/	/	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_TripleJet_100_85_72_VBF OR L1_HTT280er OR L1_HTT300er OR L1_HTT320er OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	BTagCSV	HLT_QuadPFJet105_90_76_15_DoubleBTagCSV_p013_p08_VBF1_v7	HIG		backup	unprescaled	2E+34	/	/	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_TripleJet_100_85_72_VBF OR L1_HTT280er OR L1_HTT300er OR L1_HTT320er OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	BTagCSV	HLT_QuadPFJet111_90_80_15_BTagCSV_p013_VBF2_v7	HIG		backup	unprescaled	2E+34	/	/	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_TripleJet_105_85_76_VBF OR L1_HTT280er OR L1_HTT300er OR L1_HTT320er OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
